col,row,red,nir
0,0,0.1561,0.5258
1,0,0.1684,0.4764
2,0,0.1612,0.4911
3,0,0.1562,0.5177
4,0,0.1578,0.5153
5,0,0.1572,0.5302
6,0,0.1561,0.5484
7,0,0.1562,0.5171
8,0,0.1484,0.5726
9,0,0.1418,0.5965
10,0,0.1527,0.5754
11,0,0.1429,0.5746
12,0,0.1504,0.5904
13,0,0.1593,0.5433
0,1,0.1709,0.4957
1,1,0.1773,0.492
2,1,0.1543,0.537
3,1,0.166,0.5182
4,1,0.1658,0.5478
5,1,0.1675,0.5097
6,1,0.1452,0.5889
7,1,0.1531,0.5778
8,1,0.1589,0.5714
9,1,0.1327,0.6414
10,1,0.148,0.6182
11,1,0.1562,0.58
12,1,0.1461,0.5864
13,1,0.1612,0.5534
0,2,0.1564,0.5078
1,2,0.1619,0.4824
2,2,0.1622,0.4891
3,2,0.1604,0.5213
4,2,0.1648,0.5147
5,2,0.1601,0.5587
6,2,0.1545,0.526
7,2,0.1501,0.5747
8,2,0.1535,0.621
9,2,0.1409,0.6445
10,2,0.1296,0.6532
11,2,0.1468,0.6242
12,2,0.1401,0.6328
13,2,0.1511,0.5919
0,3,0.1653,0.5002
1,3,0.174,0.4749
2,3,0.171,0.4784
3,3,0.1602,0.4776
4,3,0.1533,0.5125
5,3,0.1543,0.5929
6,3,0.1507,0.5821
7,3,0.1553,0.585
8,3,0.1395,0.6477
9,3,0.1366,0.6406
10,3,0.1451,0.6347
11,3,0.1362,0.6253
12,3,0.1338,0.6207
13,3,0.1588,0.5789
0,4,0.1614,0.4739
1,4,0.1693,0.482
2,4,0.1731,0.4828
3,4,0.1644,0.5087
4,4,0.1571,0.5177
5,4,0.1707,0.4885
6,4,0.1477,0.5437
7,4,0.1377,0.6091
8,4,0.1447,0.5931
9,4,0.1491,0.6055
10,4,0.1466,0.6161
11,4,0.1496,0.617
12,4,0.1437,0.6242
13,4,0.1513,0.5658
0,5,0.158,0.5361
1,5,0.1697,0.4879
2,5,0.1747,0.4632
3,5,0.1661,0.4655
4,5,0.1669,0.5045
5,5,0.1618,0.5052
6,5,0.1543,0.522
7,5,0.151,0.5811
8,5,0.1486,0.5853
9,5,0.1548,0.5672
10,5,0.1445,0.6264
11,5,0.1523,0.6302
12,5,0.1461,0.5957
13,5,0.1531,0.5643
0,6,0.1651,0.467
1,6,0.1749,0.4406
2,6,0.1802,0.4383
3,6,0.1688,0.4663
4,6,0.1688,0.4746
5,6,0.17,0.4729
6,6,0.1601,0.5316
7,6,0.1527,0.5399
8,6,0.1586,0.5657
9,6,0.1523,0.593
10,6,0.1548,0.5692
11,6,0.1573,0.5649
12,6,0.1518,0.5919
13,6,0.1507,0.5832
0,7,0.1687,0.4673
1,7,0.1771,0.4492
2,7,0.1796,0.4276
3,7,0.1681,0.4328
4,7,0.1814,0.444
5,7,0.1757,0.4349
6,7,0.1679,0.476
7,7,0.157,0.4993
8,7,0.1603,0.5633
9,7,0.153,0.5504
10,7,0.1502,0.5851
11,7,0.1505,0.5422
12,7,0.1572,0.5424
13,7,0.1565,0.5506
0,8,0.1657,0.4844
1,8,0.1739,0.4628
2,8,0.1806,0.4022
3,8,0.182,0.4455
4,8,0.1734,0.444
5,8,0.168,0.4636
6,8,0.169,0.4953
7,8,0.1615,0.5498
8,8,0.1688,0.5154
9,8,0.1668,0.5228
10,8,0.1491,0.5272
11,8,0.1615,0.5366
12,8,0.1681,0.5272
13,8,0.1593,0.5193
0,9,0.1644,0.5047
1,9,0.1715,0.4681
2,9,0.168,0.479
3,9,0.1766,0.4521
4,9,0.1748,0.4584
5,9,0.1782,0.4811
6,9,0.1712,0.4738
7,9,0.1605,0.4918
8,9,0.1696,0.4925
9,9,0.1728,0.4937
10,9,0.1593,0.5145
11,9,0.1644,0.4882
12,9,0.1571,0.4875
13,9,0.1666,0.4912
