col,row,nitrate_ppm,organic_matter_pct
0,0,27.9,3.43
1,0,27.5,3.2
2,0,31.8,3.41
3,0,30.5,3.26
4,0,30.1,4.08
5,0,31.3,3.64
6,0,28.3,3.63
7,0,30.2,3.46
8,0,27.9,3.4
9,0,27.7,3.24
10,0,26.6,2.99
11,0,29.5,3.18
12,0,27.4,3.03
13,0,28.6,3.26
0,1,30.9,3.15
1,1,29.7,3.35
2,1,33.9,3.76
3,1,34.5,4.01
4,1,34.8,3.83
5,1,33.0,3.61
6,1,31.9,3.6
7,1,32.9,3.36
8,1,34.3,3.67
9,1,27.2,3.35
10,1,29.3,3.34
11,1,27.1,3.1
12,1,29.2,2.9
13,1,28.4,3.24
0,2,32.4,3.66
1,2,26.2,3.63
2,2,32.1,3.7
3,2,32.6,4.06
4,2,34.8,3.83
5,2,33.1,4.0
6,2,32.0,3.56
7,2,33.1,3.31
8,2,34.0,3.44
9,2,23.4,3.25
10,2,27.6,3.47
11,2,28.4,2.98
12,2,27.6,3.01
13,2,26.8,2.77
0,3,27.3,2.92
1,3,29.4,3.1
2,3,34.2,3.72
3,3,36.0,3.52
4,3,34.4,4.03
5,3,32.1,4.04
6,3,32.9,3.56
7,3,30.7,3.78
8,3,30.9,3.32
9,3,28.9,3.36
10,3,26.7,3.0
11,3,27.9,3.19
12,3,25.0,2.79
13,3,28.9,3.1
0,4,31.6,3.12
1,4,27.9,3.3
2,4,32.1,3.58
3,4,30.0,3.57
4,4,34.4,3.56
5,4,33.7,3.68
6,4,30.6,3.59
7,4,31.9,3.01
8,4,27.9,3.27
9,4,26.6,3.18
10,4,26.1,2.82
11,4,26.6,3.0
12,4,26.1,2.65
13,4,27.2,3.21
0,5,27.3,3.07
1,5,30.6,3.17
2,5,31.7,3.5
3,5,29.1,3.28
4,5,27.3,3.44
5,5,31.3,3.08
6,5,31.5,3.1
7,5,28.1,2.83
8,5,24.9,2.95
9,5,27.2,3.1
10,5,29.1,2.87
11,5,22.0,2.97
12,5,26.8,2.59
13,5,25.5,2.65
0,6,26.3,2.96
1,6,29.2,3.2
2,6,25.9,3.19
3,6,29.2,3.13
4,6,31.2,3.26
5,6,28.7,3.07
6,6,26.1,3.03
7,6,23.5,3.21
8,6,23.6,2.72
9,6,21.6,2.77
10,6,27.8,2.98
11,6,23.9,2.64
12,6,22.4,2.78
13,6,22.4,2.58
0,7,25.5,3.41
1,7,27.1,2.58
2,7,25.3,2.81
3,7,31.2,2.83
4,7,26.3,3.35
5,7,25.9,3.07
6,7,27.5,2.88
7,7,29.0,2.58
8,7,27.8,2.79
9,7,23.1,2.62
10,7,23.9,2.36
11,7,23.3,2.17
12,7,24.4,2.28
13,7,24.5,2.62
0,8,25.7,3.07
1,8,25.0,3.02
2,8,27.9,2.98
3,8,25.2,2.65
4,8,30.1,3.0
5,8,27.2,2.75
6,8,24.5,2.9
7,8,25.1,2.88
8,8,23.7,2.53
9,8,23.4,2.33
10,8,24.7,2.64
11,8,19.6,2.47
12,8,19.1,2.31
13,8,24.3,1.93
0,9,27.2,2.99
1,9,27.8,3.13
2,9,28.4,3.22
3,9,27.1,2.86
4,9,28.9,2.85
5,9,25.3,2.86
6,9,26.7,3.06
7,9,24.2,2.57
8,9,22.7,2.67
9,9,25.3,2.4
10,9,24.4,2.55
11,9,19.1,2.15
12,9,21.1,2.57
13,9,24.6,2.48
